id,address,apn,permits,net_units,vli_units,status,app_filed_date,app_complete_date,entitled_date,bp_issued_date,co_date,density_bonus,sb35_flag,sb330_flag,ab2011_flag,developer,architect,construction_status,milestone_achieved
173,2000 DWIGHT Way,,"ZP2019-0074, B2021-02404",113,0,Completed,2019-05-24,2020-07-01,2020-09-30,2022-04-18,2025-03-15,0,,,,Berkeley Ruby WIP Development LLC,Trachtenberg Architects,,CO Issued
154,2001 ASHBY Ave,053 159101803,TBD,87,86,Completed,2024-01-01,,,2022-02-04,2025-06-01,1,0,0,0,RCD,Pyatok Architects,Completed,CO Issued
164,1752 SHATTUCK Ave,058 217600101,"ZP2022-0011, B2023-00774, ZP2025-0046",68,0,Completed,2022-01-18,2022-05-06,2023-01-12,2024-06-13,2025-05-27,1,0,1,0,Panoramic Interests,Studio KDA,Completed,CO Issued
172,2650 TELEGRAPH Ave,,"ZP2019-0070, B2021-02225",45,0,Completed,2019-05-18,2019-09-20,2020-06-16,2023-08-02,2025-06-16,0,,,,2650 TELEGRAPH LP,Trachtenberg Architects,,CO Issued
176,2440 SHATTUCK Ave,,"ZP2021-0201, B2022-02525, B2022-05117",40,0,Completed,2021-12-09,2022-02-24,2022-06-24,2022-10-14,2025-03-05,0,,,,,,,CO Issued
158,1367 UNIVERSITY Ave,057 207300500,TBD,39,39,Completed,2024-01-01,,,2023-03-13,2025-06-18,0,0,0,0,Panoramic Interests,,Completed,CO Issued
175,1698 UNIVERSITY Ave,,"DRCF2015-0003, B2014-05752",36,0,Completed,2014-12-01,2015-02-26,2015-03-20,2017-06-20,2025-05-22,0,,,,,,,CO Issued
174,1773 OXFORD St,,"ZP2022-0062, B2023-02354",24,2,Completed,2022-05-10,2022-09-21,2023-02-17,2023-11-13,2025-05-21,0,,,,,,,CO Issued
124,2442 HASTE St,055 188101800,ZP2024-0070,34,2,Under Construction,2024-07-03,2024-10-08,2025-09-08,2025-10-23,,0,0,1,0,,SDT Architects,demolition,BP Issued
119,1974 SHATTUCK Ave,057 205300200,ZP2023-0040,599,58,Entitled,2023-04-25,2024-04-11,2025-06-03,,,1,0,0,0,NX Ventures,,,Entitled
2,2276 SHATTUCK Ave,057 202800400,"LMSAP2024-0005, ZP2024-0067",336,0,In Review,2025-08-07,2025-08-07,2025-12-04,,,1,0,1,0,,,,Entitled
120,2274 SHATTUCK Ave,057 202800300,ZP2023-0079,299,0,Entitled,2023-06-29,2024-01-04,2025-04-22,,,1,0,0,0,Panoramic Interests,Trachtenberg Architects,,Entitled
5,2425 DURANT Ave,055 187800701,"ZP2024-0162, PLN2024-0049",250,0,Pending Final Action,2024-11-15,2025-03-13,2025-10-09,,,1,0,1,0,Collabhome,,,Entitled
6,2029 UNIVERSITY Ave,057 205300801,"ZP2024-0181, ZP2024-0182, PLN2024-0069, PLN2024-0070",240,0,Pending Final Action,2024-12-19,2025-06-03,2025-11-13,,,1,0,0,0,,,,Entitled
121,2100 MILVIA St,057 202201701,ZP2023-0163,205,0,Entitled,2023-12-20,2024-05-17,2025-07-01,,,0,0,0,0,4Terra Investments,Trachtenberg Architects,,Entitled
10,3000 SHATTUCK Ave,053 159200100,ZP2022-0046,166,17,In Review,2022-05-11,2022-08-03,2025-03-11,,,1,0,0,0,NX Ventures,Trachtenberg Architects,,Entitled
18,2655 SHATTUCK Ave,055 182601802,ZP2024-0057,97,0,Pending Final Action,2024-06-12,2024-08-19,2025-08-14,,,0,0,0,0,,,,Entitled
34,2680 BANCROFT Way,055 187100103,"ZP2023-0096, ZP2024-0029",79,9,Entitled,2024-03-19,2024-04-30,2025-06-13,,,0,0,0,0,,,pre_demolition,Entitled
113,2138 KITTREDGE St,057 202901500,ZP2026-0006,73,5,Under Review,2024-09-05,2024-09-05,2025-10-20,,,1,0,1,0,,,,Entitled
156,2550 SHATTUCK Ave,055 182100101,TBD,72,8,Entitled,2025-01-01,,2025-01-21,,,1,0,0,0,,,,Entitled
118,2138 KITTREDGE St,057 202901500,ZP2024-0114,66,5,Entitled,2024-09-05,2024-09-05,2025-10-20,,,1,0,1,0,,,,Entitled
28,2372 ELLSWORTH St,055 188700300,PLN2024-0054,63,0,Entitled,2024-01-01,,2025-11-18,,,0,0,0,0,,,,Entitled
29,2138 KITTREDGE St,057 202901500,PLN2024-0011,63,5,Under Review,2024-09-05,2024-09-05,2025-10-20,,,1,0,1,0,,,,Entitled
41,2147 SAN PABLO Ave,056 198304201,ZP2024-0096,15,0,Pending Final Action,2024-07-17,2024-08-28,2025-09-09,,,1,0,0,0,,,,Entitled
130,1048 Keith St,,ZP2024-0014,0,0,Approved,2024-02-08,2024-02-29,2025-06-04,,,0,0,0,0,,,,Entitled
131,811 Cedar,,ZP2024-0116,0,0,Approved,2024-09-05,2024-12-19,2025-07-03,,,0,0,0,0,,,,Entitled
132,1627 Jaynes St,059227901600,ZP2024-0129,0,0,Approved,2024-09-06,2024-10-18,2025-05-16,,,0,0,0,0,,,,Entitled
